,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
333,10,2,18,5,23,9,35,10,21,5,23,19,19,16,19,13,37,40,0.0,2
334,21,8,32,12,37,13,32,9,39,13,12,12,15,16,14,17,34,36,0.0,2
336,21,8,33,8,40,12,32,8,12,10,14,13,17,17,18,14,44,35,0.0,2
338,32,12,32,12,39,11,32,11,36,14,17,13,20,20,21,21,45,45,5.65,2
339,32,12,32,10,32,11,33,10,34,10,16,14,18,20,14,17,26,32,4.58,2
340,0,8,16,10,32,9,32,8,55,10,13,12,15,12,14,12,35,44,0.0,2
341,5,8,32,10,32,9,10,10,32,10,11,12,20,19,13,12,33,33,0.0,2
342,34,10,32,10,32,10,32,9,32,13,15,14,18,17,14,16,29,40,4.73,2
343,10,8,32,10,32,9,43,11,34,13,19,20,20,20,17,15,36,34,0.0,2
344,19,12,35,9,39,12,33,11,32,14,19,20,20,20,18,17,41,42,0.0,2
345,32,8,41,10,33,13,37,14,37,14,18,13,23,22,21,16,39,38,5.96,2
347,32,15,32,15,32,11,38,9,32,10,23,17,18,20,22,22,47,47,5.62,2
348,21,11,9,4,10,8,2,6,2,7,15,17,19,17,21,11,39,34,0.0,2
349,12,4,20,3,32,8,26,8,11,5,22,17,19,18,18,12,36,26,0.0,2
