,AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,GPA_SEMIII,cluster
275,67,19,45,17,72,18,34,12,57,15,24,22,22,22,24,23,49,46,8.46,4
276,55,14,59,15,51,12,53,11,41,10,20,20,20,19,24,21,44,46,7.54,4
278,70,18,67,12,53,13,50,17,47,15,24,21,23,21,24,19,46,48,8.46,4
280,63,13,68,16,60,16,56,11,49,13,19,20,16,17,20,23,42,46,8.58,4
281,55,16,58,13,50,16,61,9,64,16,17,20,16,16,24,15,42,46,8.31,4
284,65,17,64,15,57,17,62,16,41,12,24,22,22,22,23,21,44,45,8.77,4
285,65,15,64,13,51,15,33,11,52,12,23,20,20,18,20,20,40,41,7.96,4
286,64,14,56,9,62,16,45,13,26,13,23,21,21,17,22,14,41,34,7.62,4
291,60,18,61,12,51,16,54,16,61,16,23,17,23,22,24,24,43,48,8.58,4
293,54,12,56,9,47,17,55,13,58,13,23,21,21,17,23,13,41,46,7.62,4
294,40,12,61,9,52,16,40,17,55,10,23,21,24,20,23,21,44,45,7.38,4
302,71,17,61,11,54,15,50,10,57,19,20,19,21,22,22,22,47,47,8.58,4
303,57,19,60,13,60,18,37,14,58,15,24,18,22,21,23,18,42,41,8.42,4
304,45,16,59,11,49,18,60,16,55,15,24,20,24,20,24,19,44,42,8.19,4
306,61,13,60,15,52,18,58,16,32,14,24,23,24,20,22,22,47,42,8.08,4
312,38,15,57,14,59,20,55,15,58,17,24,23,22,20,24,19,46,48,8.31,4
314,73,19,64,11,66,17,33,10,42,14,23,21,22,16,21,18,41,39,8.23,4
317,58,19,56,9,57,16,54,15,37,13,24,21,23,20,22,19,47,46,7.96,4
320,53,19,51,15,59,18,62,17,56,16,23,21,20,19,23,24,42,46,8.5,4
322,69,18,63,8,49,19,40,10,35,10,23,21,21,18,24,24,48,47,7.81,4
325,45,14,61,13,63,15,53,12,53,15,20,19,20,16,21,21,42,48,7.73,4
