, AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA,GPA_SEM_4,cluster
188,67,14,60,17,57,19,64,16,58,18,23,22,24,22,21,23,45,47,66,19,43,18,35,10,42,14,54,16,19,22,22,20,22,19,22,22,20,22,9.54,7.93,2
198,34,10,50,8,59,18,46,10,57,15,19,21,19,19,24,23,44,42,67,18,39,16,56,15,68,16,64,17,23,20,21,20,19,20,21,18,21,22,7.12,9.14,2
200,54,18,53,13,56,19,46,10,49,17,20,21,19,19,22,21,43,45,56,18,47,16,48,10,50,12,53,14,20,19,20,20,22,21,21,16,19,20,7.88,7.62,2
203,54,14,56,14,61,18,45,13,58,15,19,18,21,19,22,20,43,42,58,17,63,16,54,12,61,16,58,15,21,20,21,20,21,20,21,18,22,23,7.96,8.74,2
221,19,11,55,17,50,18,57,15,48,16,23,22,23,20,22,18,46,47,52,17,55,14,44,15,66,15,65,17,22,21,21,22,20,19,22,21,23,23,0.0,8.37,2
228,55,19,53,15,71,17,32,9,41,18,20,20,22,18,24,15,47,42,65,19,65,19,50,9,63,18,48,8,21,22,23,23,22,17,20,15,21,21,7.58,8.7,2
237,43,13,56,14,50,12,39,14,61,17,22,22,23,20,24,24,47,48,63,17,61,16,52,10,54,11,60,15,23,22,23,18,23,18,24,21,22,22,7.69,8.81,2
248,61,15,61,13,60,12,37,14,55,14,24,20,22,18,23,19,40,33,48,8,57,14,60,16,56,13,51,10,23,20,23,20,23,22,24,18,22,22,7.96,7.93,2
249,60,14,61,13,55,16,60,7,42,14,23,21,20,18,23,22,41,46,60,15,49,8,58,14,66,19,51,9,22,16,22,23,23,21,22,17,23,23,7.88,8.41,2
251,48,16,61,14,71,18,59,11,46,16,21,20,18,19,23,17,37,44,55,12,57,13,54,11,49,8,57,13,22,19,21,16,22,18,23,20,20,20,8.42,7.74,2
252,51,14,58,9,59,10,49,16,45,11,24,19,22,17,23,18,38,40,64,19,59,16,56,14,58,15,52,11,21,21,23,21,23,20,24,19,21,21,7.31,8.81,2
259,45,11,60,13,42,15,49,10,51,14,24,20,22,20,23,18,42,46,61,17,53,12,61,17,56,14,61,17,23,19,23,20,23,22,21,21,22,22,7.23,8.78,2
261,61,17,53,12,52,17,51,10,43,13,21,20,20,20,23,17,44,34,47,8,61,17,58,15,52,11,61,17,19,20,20,17,23,21,21,21,19,19,7.73,8.14,2
264,50,15,57,15,58,16,46,11,45,15,24,21,21,19,23,18,46,34,57,14,63,18,63,18,62,17,54,12,23,23,23,22,23,23,24,20,22,22,7.73,9.04,2
266,59,16,44,9,68,17,55,15,38,11,21,20,23,21,24,16,47,44,55,12,67,20,55,12,61,16,57,13,22,24,23,22,23,19,23,20,21,21,8.12,8.66,2
270,55,14,59,15,51,12,53,11,41,10,20,20,20,19,24,21,44,46,48,8,59,15,54,12,59,15,48,8,20,19,20,19,22,19,22,16,19,19,7.54,7.54,2
274,63,13,68,16,60,16,56,11,49,13,19,20,16,17,20,23,42,46,55,11,56,12,62,16,50,8,65,18,21,18,20,15,23,22,21,22,19,19,8.58,8.07,2
279,65,15,64,13,51,15,33,11,52,12,23,20,20,18,20,20,40,41,56,13,60,16,54,12,53,11,48,8,20,20,21,17,19,17,18,14,23,23,7.96,7.59,2
280,64,14,56,9,62,16,45,13,26,13,23,21,21,17,22,14,41,34,61,17,65,20,56,14,65,20,53,12,22,24,23,24,22,20,23,19,22,22,7.62,9.07,2
286,54,12,56,9,47,17,55,13,58,13,23,21,21,17,23,13,41,46,54,12,62,17,54,12,54,12,53,11,23,22,21,18,23,19,22,18,23,23,7.62,7.93,2
287,40,12,61,9,52,16,40,17,55,10,23,21,24,20,23,21,44,45,54,12,56,13,60,16,56,13,60,16,22,19,23,20,23,22,22,21,24,24,7.38,8.26,2
299,61,13,60,15,52,18,58,16,32,14,24,23,24,20,22,22,47,42,56,12,58,13,53,10,58,13,59,14,22,19,19,18,23,18,20,19,21,21,8.08,8.1,2
315,69,18,63,8,49,19,40,10,35,10,23,21,21,18,24,24,48,47,56,13,63,18,50,9,62,17,54,12,22,22,23,22,22,17,23,19,24,24,7.81,8.22,2
318,45,14,61,13,63,15,53,12,53,15,20,19,20,16,21,21,42,48,55,12,61,16,64,18,54,11,63,17,19,20,21,17,23,23,23,22,23,23,7.73,8.78,2
