,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_4,cluster
96,32,10,40,12,56,15,50,12,60,19,18,21,21,21,21,16,22,22,18,19,7.11,1
97,73,18,48,14,52,19,47,13,54,19,23,21,20,20,22,20,23,23,23,20,8.52,2
98,36,15,42,14,54,15,46,14,55,18,22,20,19,19,21,18,22,22,20,14,7.22,1
99,20,5,18,13,32,11,32,11,38,15,21,20,19,19,19,17,22,22,18,22,0.0,5
100,40,16,52,13,56,12,46,15,60,18,22,21,20,20,20,20,21,21,20,19,7.7,1
101,43,15,53,15,63,15,52,15,59,17,21,20,19,19,20,18,20,21,21,23,8.0,1
102,47,18,57,12,59,18,56,15,56,19,21,20,20,21,21,19,20,22,22,22,8.41,2
103,61,14,48,12,65,13,45,12,50,17,21,17,20,20,20,16,20,22,22,17,8.0,2
104,32,8,33,13,48,11,39,9,48,17,21,24,20,18,19,17,20,22,16,21,6.11,5
105,44,11,51,13,57,15,57,11,47,18,22,25,20,19,21,20,20,23,21,16,7.44,1
106,32,9,47,9,60,13,52,9,45,14,21,23,19,19,19,16,22,22,19,18,6.7,1
107,33,9,38,8,34,12,36,11,38,18,22,21,20,19,20,18,21,22,18,14,5.78,5
108,33,12,38,11,43,11,49,13,50,18,22,20,20,20,21,17,21,22,18,17,6.67,1
109,44,12,47,6,50,14,56,13,42,11,21,24,18,18,18,17,21,22,17,17,6.81,1
110,20,12,33,13,14,11,32,14,39,14,22,23,18,12,20,18,21,20,19,19,0.0,5
111,36,13,47,9,50,13,47,12,41,19,21,23,20,20,20,20,22,20,18,19,6.85,1
112,51,17,51,15,46,17,50,14,32,18,21,22,21,20,22,20,22,21,23,23,7.52,1
113,15,4,39,8,52,12,42,14,40,19,17,18,19,19,19,17,22,21,17,13,0.0,5
114,36,11,42,13,56,12,52,10,50,17,22,19,20,19,20,19,23,22,18,17,6.93,1
115,68,20,73,20,63,17,63,19,64,20,24,24,24,24,24,23,24,24,23,24,10.0,3
116,70,16,74,16,70,11,70,16,58,18,22,23,20,22,22,18,24,23,21,21,9.85,3
117,68,19,41,16,43,9,65,13,56,14,22,22,21,21,23,18,23,23,22,20,8.37,2
118,66,20,68,13,41,6,73,16,47,15,19,16,16,19,18,17,20,17,15,18,8.3,2
119,46,15,48,9,33,7,51,11,44,13,17,16,16,21,19,18,20,21,13,14,6.47,4
120,80,19,70,20,55,12,64,17,61,18,24,23,21,22,23,23,23,22,18,23,9.41,0
