AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_3,GPA_SEM_4,cluster
62,13,53,11,45,16,45,10,52,14,21,23,19,21,23,21,44,45,67,18,54,12,48,10,40,13,43,14,22,24,18,17,19,17,19,20,21,18,7.81,7.56,5
54,11,43,10,40,15,32,11,37,15,19,23,20,21,22,19,46,35,51,17,62,11,54,9,55,12,55,15,21,21,20,20,20,15,20,21,17,14,6.65,7.59,2
73,15,54,19,56,19,51,17,63,15,24,23,23,22,22,22,46,40,57,19,70,14,67,17,65,18,57,20,22,20,20,19,20,17,21,22,18,16,8.92,9.37,0
75,17,54,14,56,18,43,14,62,13,20,19,22,22,21,20,42,38,67,18,56,12,67,16,60,17,61,17,22,23,20,20,21,18,21,23,18,15,8.42,8.96,5
69,16,41,17,56,20,44,14,63,17,23,23,21,22,22,24,44,47,68,18,60,15,58,16,64,18,59,20,23,25,18,19,21,16,23,23,19,23,8.62,9.33,5
53,11,24,9,47,14,33,9,46,15,16,17,20,19,20,23,40,47,71,16,52,12,44,11,41,12,53,19,20,22,18,18,19,15,20,22,17,20,6.5,7.84,2
48,14,49,13,49,17,43,15,68,17,20,20,20,22,21,16,41,33,57,20,56,14,65,14,51,15,61,18,20,24,18,19,22,16,20,22,20,18,7.96,8.59,5
35,9,35,11,41,15,34,9,41,9,21,16,21,21,21,22,39,44,41,9,47,10,34,14,20,8,42,17,19,21,20,20,21,16,20,21,22,20,5.85,0,3
70,13,54,19,61,20,51,19,63,14,24,24,23,22,24,23,44,46,64,20,62,17,67,18,59,17,65,20,22,21,19,21,22,17,22,23,19,22,9.23,9.67,0
63,17,60,17,65,20,55,17,58,16,24,23,20,20,24,22,47,47,77,20,62,16,71,19,52,11,65,20,21,22,19,21,21,18,22,24,22,23,9.23,9.37,0
50,9,32,17,57,17,45,13,50,14,24,24,22,22,24,21,45,47,44,17,52,17,52,12,51,15,47,20,23,20,18,20,23,15,24,24,24,22,7.08,7.63,2
45,9,32,8,39,12,32,7,32,9,16,16,18,22,20,15,40,46,47,14,42,8,55,9,32,10,40,17,19,19,20,20,20,15,20,22,20,19,5.65,6.7,2
48,10,32,8,39,16,36,12,28,9,18,22,16,21,19,16,39,47,65,19,51,10,52,11,52,10,39,14,20,19,18,19,22,16,20,22,18,22,5.85,8,2
46,11,40,10,48,12,33,14,43,12,19,22,20,21,20,20,36,36,36,17,55,10,53,10,40,11,52,14,18,21,22,22,19,15,20,22,20,20,6.62,7.11,2
64,15,57,16,66,19,50,17,52,16,24,24,22,23,21,22,43,44,63,18,73,16,66,18,67,17,58,20,22,21,19,19,23,18,21,22,20,19,8.58,9.78,0
69,13,46,15,60,16,41,13,47,11,23,22,20,21,22,19,44,44,66,20,65,14,63,14,57,12,53,17,21,21,23,21,22,15,20,21,21,21,8.15,8.85,5
51,9,36,11,44,16,36,11,51,13,20,23,20,22,22,21,42,46,50,14,61,12,49,15,48,13,55,19,21,22,20,20,24,17,23,23,20,19,6.96,7.89,2
75,15,45,13,71,18,55,12,54,16,22,21,21,22,22,21,42,43,68,18,73,14,62,12,59,12,57,16,20,23,20,19,22,16,21,20,19,18,8.62,8.93,0
61,9,43,10,51,14,46,10,42,14,21,23,22,21,21,23,41,43,44,15,36,12,36,12,46,16,51,17,22,24,18,19,21,16,21,20,22,17,7.31,6.8,2
53,9,26,9,45,15,44,8,32,8,15,18,13,22,19,20,38,46,61,10,57,11,56,15,62,13,58,18,20,22,20,19,19,15,20,20,16,21,6.27,8.26,2
70,15,53,13,62,19,41,12,56,15,23,23,18,22,20,22,41,45,60,19,69,14,63,18,60,18,66,20,20,23,19,18,21,20,22,23,19,21,8.62,9.63,5
63,11,38,14,49,18,34,12,41,15,22,22,20,22,19,23,43,41,52,19,62,11,56,12,53,11,53,18,21,20,20,21,21,16,20,21,17,18,7.15,7.95,2
55,12,47,14,48,15,48,17,61,15,24,23,20,23,22,24,45,48,52,17,53,14,60,15,53,14,58,19,22,23,19,19,22,18,22,22,19,16,7.88,8.11,5
32,8,32,8,32,10,33,11,32,7,14,22,18,21,18,22,43,47,32,10,40,12,56,15,50,12,60,19,18,21,21,21,21,16,22,22,18,19,5.04,7.11,3
69,18,52,19,58,18,40,16,64,19,24,23,19,23,23,24,45,47,73,18,48,14,52,19,47,13,54,19,23,21,20,20,22,20,23,23,23,20,8.92,8.52,5
54,15,32,12,42,14,41,15,41,17,21,23,21,20,23,22,47,45,36,15,42,14,54,15,46,14,55,18,22,20,19,19,21,18,22,22,20,14,6.65,7.22,2
13,8,8,15,34,15,13,12,20,11,22,23,19,22,22,22,45,47,20,5,18,13,32,11,32,11,38,15,21,20,19,19,19,17,22,22,18,22,0,0,3
36,10,40,11,42,15,45,16,42,17,20,21,20,21,22,19,46,46,40,16,52,13,56,12,46,15,60,18,22,21,20,20,20,20,21,21,20,19,6.73,7.7,2
49,10,44,15,40,19,44,12,39,13,22,21,19,22,22,20,45,46,43,15,53,15,63,15,52,15,59,17,21,20,19,19,20,18,20,21,21,23,6.77,8,2
62,12,48,17,48,18,46,14,43,15,24,21,20,22,22,17,45,45,47,18,57,12,59,18,56,15,56,19,21,20,20,21,21,19,20,22,22,22,7.58,8.41,5
58,16,37,11,27,14,33,16,58,17,18,20,22,20,23,24,46,44,61,14,48,12,65,13,45,12,50,17,21,17,20,20,20,16,20,22,22,17,7.27,8,2
24,8,21,9,32,8,32,9,14,9,15,12,19,20,21,22,43,45,32,8,33,13,48,11,39,9,48,17,21,24,20,18,19,17,20,22,16,21,4.96,6.11,3
26,8,38,13,46,15,33,9,41,18,22,21,20,22,23,24,47,45,44,11,51,13,57,15,57,11,47,18,22,25,20,19,21,20,20,23,21,16,6.23,7.44,2
35,10,18,9,38,9,32,10,32,9,14,14,19,20,23,23,44,42,32,9,47,9,60,13,52,9,45,14,21,23,19,19,19,16,22,22,19,18,0,6.7,3
23,7,32,8,37,8,20,13,32,13,13,20,20,21,22,23,44,42,33,9,38,8,34,12,36,11,38,18,22,21,20,19,20,18,21,22,18,14,0,5.78,3
