AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_3,GPA_SEM_4,cluster
74,20,75,17,74,19,68,19,68,19,24,23,24,22,24,24,45,48,76,20,76,20,76,20,76,20,70,16,23,24,22,24,23,24,23,22,24,24,10,10,0
18,9,17,5,42,9,19,3,32,8,23,18,21,17,20,15,43,42,38,9,41,11,44,13,44,13,41,11,20,17,22,19,23,20,23,18,21,21,0,6.63,3
46,15,33,10,61,15,50,11,32,10,24,20,24,17,19,10,43,38,49,11,50,12,53,14,55,15,46,9,23,19,22,20,23,20,23,18,21,21,6.81,7.67,2
73,19,66,13,57,19,56,14,64,16,24,22,23,18,24,18,48,48,70,19,71,20,67,17,71,20,53,8,23,24,23,24,23,22,22,16,24,24,9.38,9.52,0
71,20,72,17,76,20,62,19,65,19,24,23,24,21,24,24,46,48,75,20,75,20,75,20,75,20,75,20,23,24,23,24,23,24,23,24,24,24,10,10,0
38,15,57,14,59,20,55,15,58,17,24,23,22,20,24,19,46,48,61,15,68,20,61,15,68,20,64,17,23,24,23,24,23,21,23,22,23,23,8.31,9.67,5
39,12,32,9,68,19,39,14,32,14,23,18,22,16,24,24,45,47,45,8,50,11,50,11,48,10,50,11,22,18,18,15,22,18,22,18,20,20,6.88,7.32,2
73,19,64,11,66,17,33,10,42,14,23,21,22,16,21,18,41,39,61,16,64,18,57,13,54,11,60,15,23,23,23,18,23,20,23,21,22,22,8.23,8.93,5
64,17,33,12,33,12,35,8,28,10,22,18,22,17,19,19,42,40,48,12,47,11,54,16,47,11,53,15,20,17,22,18,21,21,22,20,21,21,6.54,7.44,2
69,20,73,17,54,18,70,18,52,13,24,22,24,22,24,23,44,48,71,19,72,20,71,19,68,17,68,17,23,24,23,22,23,23,23,22,23,23,9.23,10,0
58,19,56,9,57,16,54,15,37,13,24,21,23,20,22,19,47,46,66,19,64,18,63,17,60,15,57,13,23,23,22,20,23,22,23,20,23,23,7.96,9.56,5
67,19,60,15,75,20,65,20,59,15,24,22,24,22,24,23,47,46,64,14,70,18,70,18,73,20,67,16,23,23,23,24,23,23,23,22,23,23,9.54,9.81,0
70,19,56,17,68,19,66,18,54,18,24,23,21,20,24,19,47,47,63,14,69,18,66,16,72,20,69,18,23,23,23,24,23,22,23,23,23,23,9.38,9.81,0
53,19,51,15,59,18,62,17,56,16,23,21,20,19,23,24,42,46,56,11,68,19,59,13,69,20,66,18,23,23,20,24,22,19,23,23,22,22,8.5,9.25,5
65,17,65,16,71,19,56,16,65,17,23,23,19,19,22,24,46,48,69,18,65,15,60,12,72,20,71,19,23,21,23,24,23,19,23,23,24,24,9.65,9.8,0
69,18,63,8,49,19,40,10,35,10,23,21,21,18,24,24,48,47,56,13,63,18,50,9,62,17,54,12,22,22,23,22,22,17,23,19,24,24,7.81,8.22,5
61,17,68,13,73,17,68,17,65,15,23,21,22,18,23,20,46,46,63,14,71,19,72,20,68,17,68,17,21,22,22,22,23,24,23,22,22,22,9.81,9.81,0
40,11,20,8,34,8,40,5,33,14,24,20,20,18,20,17,48,48,47,12,43,9,53,16,41,8,49,13,17,14,17,14,18,19,20,18,19,19,0,6.63,3
45,14,61,13,63,15,53,12,53,15,20,19,20,16,21,21,42,48,55,12,61,16,64,18,54,11,63,17,19,20,21,17,23,23,23,22,23,23,7.73,8.78,5
17,8,20,7,19,9,32,8,32,9,23,19,21,17,19,14,37,39,35,8,38,10,37,9,35,8,43,13,22,17,21,16,21,16,23,20,20,20,0,5.74,3
32,9,48,9,43,11,40,11,32,9,20,18,20,17,18,16,38,43,49,13,50,14,53,16,50,14,46,11,21,19,21,19,19,20,22,18,19,19,5.85,7.41,2
50,11,45,8,44,15,40,9,48,15,23,19,20,16,20,20,48,48,47,9,48,10,45,8,54,14,50,11,22,17,23,20,20,15,23,18,23,23,6.38,7.07,2
32,6,33,11,62,10,12,8,39,11,22,19,16,16,18,19,37,43,44,12,38,8,50,16,41,10,43,11,22,16,21,17,20,20,23,18,19,19,0,6.74,3
15,5,32,4,49,10,34,10,32,12,22,18,21,19,20,17,44,43,45,12,42,10,42,10,47,13,39,8,22,17,23,20,21,17,23,17,21,21,0,6.81,3
20,5,37,10,53,12,21,8,41,15,22,17,20,18,20,18,48,47,41,8,56,18,50,14,50,14,46,11,22,22,21,19,23,20,23,18,21,21,0,7.3,2
32,8,42,9,60,14,45,12,35,11,22,17,21,16,20,16,41,45,46,10,52,14,43,8,55,16,49,12,22,20,23,22,22,16,23,19,21,21,6.35,7.44,2
10,2,18,5,23,9,35,10,21,5,23,19,19,16,19,13,37,40,40,12,37,10,34,8,36,9,39,11,18,15,18,15,18,14,22,18,19,19,0,5.89,3
