AM4_SE,AM4_IA,AM4_TOT,AOA_SE,AOA_IA,AOA_TOT,COA_SE,COA_IA,COA_TOT,CG_SE,CG_IA,CG_TOT,OS_SE,OS_IA,OS_TOT,AOA_TW,AOA_OP,AOAL_TOT,CG_TW,CG_OP,CGL_TOT,PAL_TW,PAL_OP,PAL_TOT,OS_TW,OS_OP,OSL_TOT,OPST_TW,OPST_OP,OPST_TOT,GPA_SEM_4
74,20,,67,17,,59,14,,68,18,,58,14,,24,23,,24,23,,24,22,,23,21,,22,22,,9.41
73,17,,62,17,,64,12,,61,15,,59,15,,21,19,,18,16,,24,19,,23,23,,19,20,,9.07
78,19,,70,17,,55,16,,66,17,,68,19,,22,21,,23,21,,24,22,,24,24,,20,23,,9.7
62,16,,65,15,,48,11,,60,17,,62,13,,21,20,,19,18,,19,21,,22,22,,19,19,,8.78
56,19,,54,18,,50,12,,67,19,,54,15,,24,19,,23,21,,21,21,,21,21,,21,21,,8.63
51,19,,57,11,,47,9,,62,16,,49,12,,17,21,,18,20,,19,20,,20,20,,16,19,,7.84
70,16,,50,15,,45,9,,58,14,,56,12,,21,17,,19,17,,20,19,,20,20,,22,22,,8.07
52,14,,32,12,,39,8,,43,9,,49,14,,19,19,,20,19,,20,18,,20,22,,17,20,,6.52
51,15,,56,10,,45,10,,45,12,,64,18,,23,20,,17,17,,22,20,,21,20,,21,21,,7.7
70,19,,47,16,,13,9,,39,15,,61,16,,23,20,,22,23,,22,18,,23,22,,20,20,,8.22
77,20,,71,15,,72,12,,65,17,,68,18,,22,22,,20,19,,21,20,,24,24,,19,21,,9.96
63,19,,62,14,,50,11,,59,16,,60,14,,21,22,,20,20,,21,21,,24,24,,16,20,,8.81
80,19,,68,19,,64,12,,64,18,,67,14,,23,21,,20,21,,21,22,,24,24,,22,21,,9.85
72,20,,55,19,,41,9,,56,18,,58,18,,24,21,,24,24,,22,23,,24,22,,22,22,,8.67
73,19,,62,19,,69,12,,71,15,,62,19,,23,23,,22,23,,23,22,,24,23,,19,21,,10
71,18,,48,14,,39,9,,59,13,,62,16,,23,18,,17,19,,21,19,,21,22,,22,21,,8.3
